iLevel,STR,DEX,INT,R,G,B
59,106,89,0,2,1,0
59,92,0,0,1,1,1
59,106,89,0,1,0,0
59,106,89,0,0,0,1
59,188,0,0,2,0,0
59,134,59,0,2,0,0
59,96,0,96,0,0,1
59,99,0,99,1,0,1
59,144,0,0,4,0,0
59,0,144,0,1,4,0
59,0,144,0,0,1,0
59,152,0,0,5,0,0
59,0,179,0,0,1,1
59,99,0,99,0,0,2
59,134,59,0,2,0,0
59,139,0,0,3,0,0
59,59,0,85,1,0,1
59,99,0,99,1,0,0
59,160,0,0,2,0,0
59,0,0,152,0,0,1
59,0,0,160,1,0,2
59,83,83,0,0,2,1
59,0,99,0,0,1,1
59,95,0,0,3,0,0
59,44,0,44,1,1,1
59,0,39,39,0,0,2
59,0,97,0,0,2,0
59,0,0,101,0,1,2
59,64,64,0,0,2,1
59,40,40,0,1,0,0
59,0,140,0,0,1,1
59,0,149,0,0,2,0
59,29,29,0,2,1,0
59,44,0,44,1,0,1
59,0,58,58,0,0,1
59,64,64,0,1,0,0
59,0,70,70,0,2,1
59,114,0,0,1,0,0
59,0,69,100,0,1,0
59,84,0,84,2,0,1
59,75,0,75,0,0,2
59,62,62,0,3,0,0
59,79,79,0,1,1,0
59,0,80,80,0,1,0
59,0,185,0,0,2,0
59,96,96,0,1,0,0
59,185,0,0,3,0,0
59,0,185,0,0,2,0
59,0,176,0,0,3,0
59,0,71,102,0,0,3
59,0,0,188,0,0,2
59,0,0,188,0,0,1
59,0,0,188,0,0,3
59,0,0,179,0,0,1
59,0,0,200,0,0,1
59,94,0,94,0,0,1
59,99,0,99,0,0,2
59,122,53,0,2,2,0
59,151,43,0,2,0,0
59,143,0,0,1,0,0
59,164,0,0,2,0,2
59,82,119,0,1,1,0
59,128,60,0,2,0,0
59,122,53,0,0,1,0
59,99,0,99,1,0,0
59,89,0,89,0,0,3
59,132,62,0,1,0,0
59,59,0,85,0,0,1
59,83,0,99,0,0,2
59,160,0,0,3,0,0
59,0,152,0,0,3,0
59,0,152,0,0,2,0
59,160,0,0,0,0,1
59,74,74,0,1,0,0
59,77,0,77,2,0,1
59,119,82,0,1,2,0
59,123,0,0,1,0,0
59,132,62,0,1,1,0
59,91,91,0,1,1,0
59,81,0,81,1,0,1
59,152,0,0,3,0,0
59,0,134,0,0,2,0
59,0,152,0,0,2,0
59,0,160,0,0,2,0
59,0,0,144,0,0,1
59,0,0,122,0,0,3
59,95,0,0,2,0,0
59,0,0,0,0,1,0
59,54,0,54,1,0,1
59,95,0,0,2,0,0
59,28,28,0,1,1,0
59,0,0,100,0,0,3
59,73,73,0,1,0,1
59,0,160,0,0,1,0
59,0,160,0,0,1,0
59,0,136,0,0,3,0
59,0,0,112,2,0,1
59,101,0,0,1,0,1
59,0,0,128,0,0,1
59,0,51,51,0,0,1
59,0,97,0,0,2,0
59,0,45,45,0,1,1
59,45,45,0,0,2,1
59,0,45,45,0,1,0
59,48,48,0,1,3,0
59,48,48,0,0,1,0
59,0,64,64,0,1,1
59,44,0,0,3,0,0
59,0,167,0,0,1,0
59,0,185,0,0,2,0
59,0,185,0,0,1,0
59,0,113,78,0,1,0
59,0,0,131,1,0,0
59,0,0,200,0,0,3
59,0,0,179,0,0,1
59,0,0,188,1,0,2
59,0,0,188,1,0,1
59,0,0,179,0,0,1
59,0,0,179,0,0,2
59,0,0,158,2,0,1
59,0,0,158,0,0,3
59,0,0,179,0,1,1
59,0,0,188,0,2,1
59,0,0,188,0,1,0
56,0,95,0,0,1,0
56,59,0,59,0,0,1
56,128,60,0,1,0,1
56,87,0,0,2,0,0
56,170,0,0,1,0,0
56,91,91,0,0,2,0
56,143,0,0,3,1,0
56,91,76,0,2,2,0
56,122,53,0,1,1,0
56,85,37,0,3,0,0
56,81,56,0,3,0,0
56,78,94,0,1,1,0
56,91,91,0,1,1,0
56,81,0,81,0,1,0
56,0,152,0,0,0,1
56,53,53,0,1,1,0
56,80,0,80,1,0,0
56,0,71,71,0,0,2
56,43,0,43,1,0,2
56,0,0,144,0,0,1
56,144,0,0,0,1,0
56,0,179,0,0,1,0
