Rarity	Base	STR	DEX	INT	R	G	B
Magic	Champion's Barbed Club of Bloodletting	125	0	0	2	0	0
Normal	Tenderizer	185	0	0	1	0	1
Normal	Ancestral Club	179	0	0	2	0	1
Normal	Pecoraro	0	212	0	0	1	0
Normal	Dragonbone Rapier	0	185	0	0	3	0
Normal	Apex Rapier	0	176	0	0	2	1
Normal	Thorn Rapier	0	113	0	0	2	0
Normal	Shagreen Gloves	0	78	0	0	2	1
Normal	Shagreen Boots	0	97	0	1	2	0
Normal	Superior Ursine Pelt	0	114	0	0	3	0
Normal	Superior Fossilised Spirit Shield	0	0	141	0	1	1
Normal	Chiming Spirit Shield	0	0	118	0	0	3
Normal	Reaver Helmet	85	0	0	2	0	0
Normal	Corrugated Buckler	0	112	0	0	2	0
Normal	Ironwood Buckler	0	136	0	0	2	0
Normal	Noble Tricorne	0	99	0	0	1	0
Normal	Glorious Leather	0	124	0	0	3	0
Normal	Cutthroat's Garb	0	144	0	0	1	1
Normal	Majestic Plate	144	0	0	2	0	0
Magic	Moth's Destiny Leather of the Mongoose	0	160	0	0	2	0
Normal	Citadel Bow	0	185	0	0	2	0
Normal	Plated Maul	164	0	0	3	0	0
Normal	Sun Plate	124	0	0	2	0	0
Normal	Decimation Bow	0	170	0	0	2	0
Normal	Imbued Wand	0	0	188	0	0	1
Normal	Imbued Wand	0	0	188	0	0	1
Normal	Demon's Horn	0	0	179	0	1	2
Normal	Demon's Horn	0	0	179	0	0	1
Normal	Imbued Wand	0	0	188	0	1	2
Normal	Imbued Wand	0	0	188	0	0	3
Normal	Serpent Wand	0	0	158	0	0	2
Normal	Serpent Wand	0	0	158	0	0	1
Normal	Serpent Wand	0	0	158	0	0	3
Magic	Demon's Horn of Ferocity	0	0	179	1	0	1
Normal	Imbued Wand	0	0	188	0	0	1
Magic	Icy Imbued Wand of Expertise	0	0	188	0	0	1
Normal	Serpent Wand	0	0	158	0	1	1
Magic	Burnished Ancestral Club	179	0	0	2	0	0
Magic	Blasting Vaal Rapier of the Leviathan	0	212	0	0	1	0
Normal	Spiraled Foil	0	212	0	0	2	0
Normal	Dragonbone Rapier	0	185	0	0	2	0
Normal	Sorcerer Boots	0	0	123	0	0	4
Normal	Ursine Pelt	0	114	0	0	1	0
Magic	Agile Ursine Pelt of the Worthy	0	93	0	1	0	0
Magic	Rotund Eternal Burgonet	138	0	0	3	0	0
Normal	Ursine Pelt	0	114	0	0	2	0
Normal	Siege Helmet	101	0	0	1	0	0
Normal	Golden Plate	152	0	0	1	3	0
Normal	Sharkskin Tunic	0	152	0	1	2	0
Normal	Nightmare Mace	212	0	0	2	0	0
Magic	Colossus Mallet of the Worthy	154	0	0	3	0	0
Normal	Crested Tower Shield	132	0	0	2	0	0
Normal	Colossus Mallet	188	0	0	0	1	0
Normal	Harbinger Bow	0	212	0	0	1	0
Normal	Dread Maul	173	0	0	2	0	0
Normal	Plated Maul	164	0	0	4	0	0
Normal	Dread Maul	173	0	0	3	0	0
Normal	Decimation Bow	0	170	0	1	3	0
Normal	Crystal Wand	0	0	146	0	1	0
Normal	Omen Wand	0	0	200	2	0	0
Normal	Omen Wand	0	0	200	0	0	3
Normal	Engraved Wand	0	0	131	0	0	2
Normal	Superior Imbued Wand	0	0	188	0	0	1
Normal	Demon's Horn	0	0	179	0	0	2
Normal	Demon's Horn	0	0	179	0	0	3
Magic	Icy Demon's Horn	0	0	179	0	1	1
Magic	Wicked Tenderizer of the Storm	185	0	0	2	0	0
Magic	Freezing Tenderizer of Penetrating	185	0	0	2	0	0
Normal	Serrated Foil	0	149	0	0	1	0
Normal	Dragonbone Rapier	0	185	0	0	1	1
Magic	Dancer's Eelskin Gloves	0	56	0	0	1	1
Normal	Sorcerer Gloves	0	0	97	0	0	1
Normal	Walnut Spirit Shield	0	0	92	0	1	2
